"Yr","Date","yday","Region"
2007,2007-06-19,170,"North"
2007,2007-06-17,168,"North"
2000,2000-06-15,167,"South"
2001,2001-06-19,170,"South"
2004,2004-06-22,174,"North"
1994,1994-06-26,177,"South"
2002,2002-06-12,163,"South"
2009,2009-06-12,163,"South"
1999,1999-06-12,163,"South"
2010,2010-06-23,174,"South"
2010,2010-06-14,165,"South"
1994,1994-07-03,184,"South"
1995,1995-06-15,166,"South"
1996,1996-06-28,180,"South"
2011,2011-06-08,159,"South"
2011,2011-06-11,162,"South"
