"Sex","Yr","date","yday","Site","Mass"
1,1993,1993-05-21,141,"Texel",330
1,1993,1993-05-21,141,"Texel",364
1,1993,1993-05-21,141,"Texel",385
1,1993,1993-05-21,141,"Texel",367
1,1993,1993-05-21,141,"Texel",328
1,1993,1993-05-21,141,"Texel",360
1,1993,1993-05-21,141,"Texel",307
1,1993,1993-05-21,141,"Texel",360
1,1993,1993-05-21,141,"Texel",365
1,1993,1993-05-21,141,"Texel",338
1,1993,1993-05-21,141,"Texel",340
1,1993,1993-05-29,149,"Friese_kust",432
1,1993,1993-05-29,149,"Friese_kust",367
1,1993,1993-05-29,149,"Friese_kust",357
1,1993,1993-05-29,149,"Friese_kust",382
1,1993,1993-05-29,149,"Friese_kust",357
1,1993,1993-05-29,149,"Friese_kust",405
2,1993,1993-05-29,149,"Friese_kust",370
2,1993,1993-05-29,149,"Friese_kust",432
2,1993,1993-05-29,149,"Friese_kust",410
2,1993,1993-05-29,149,"Friese_kust",410
2,1993,1993-05-29,149,"Friese_kust",450
1,1994,1994-04-30,120,"Ijsselmeer_kust",220
1,1994,1994-04-30,120,"Ijsselmeer_kust",180
1,1994,1994-04-30,120,"Ijsselmeer_kust",197
1,1994,1994-04-30,120,"Ijsselmeer_kust",220
1,1994,1994-04-30,120,"Ijsselmeer_kust",218
2,1994,1994-04-30,120,"Ijsselmeer_kust",288
1,1994,1994-05-01,121,"Ijsselmeer_kust",220
1,1994,1994-05-01,121,"Ijsselmeer_kust",180
1,1994,1994-05-01,121,"Ijsselmeer_kust",197
1,1994,1994-05-01,121,"Ijsselmeer_kust",220
1,1994,1994-05-01,121,"Ijsselmeer_kust",218
2,1994,1994-05-01,121,"Ijsselmeer_kust",288
1,1994,1994-05-14,134,"Texel",235
1,1994,1994-05-14,134,"Texel",328
2,1994,1994-05-14,134,"Texel",360
2,1994,1994-05-14,134,"Texel",355
2,1994,1994-05-14,134,"Texel",333
2,1994,1994-05-14,134,"Texel",308
2,1994,1994-05-14,134,"Texel",270
2,1994,1994-05-14,134,"Texel",342
2,1994,1994-05-14,134,"Texel",262
2,1994,1994-05-14,134,"Texel",372
2,1994,1994-05-14,134,"Texel",275
2,1994,1994-05-14,134,"Texel",380
2,1994,1994-05-14,134,"Texel",340
1,1994,1994-05-14,134,"Texel",218
1,1994,1994-05-14,134,"Texel",235
