"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
159,"2005-05-06",6,5,2005,"03:00:00",0,23,2005-05-06,3,7.66666666666667,126
29,"2005-05-05",5,5,2005,"08:00:00",0,74,2005-05-05,8,9.25,125
159,"2005-05-05",5,5,2005,"03:00:00",0,92,2005-05-05,3,30.6666666666667,125
71,"2005-04-20",20,4,2005,"06:30:00",0,239,2005-04-20,6.5,36.7692307692308,110
252,"2005-05-15",15,5,2005,"06:00:00",0,51,2005-05-15,6,8.5,135
159,"2005-05-04",4,5,2005,"01:00:00",0,2,2005-05-04,1,2,124
1,"2005-04-24",24,4,2005,"09:00:00",0,64,2005-04-24,9,7.11111111111111,114
1,"2005-04-30",30,4,2005,"15:00:00",0,8,2005-04-30,15,0.533333333333333,120
1,"2005-05-07",7,5,2005,"11:00:00",0,159,2005-05-07,11,14.4545454545455,127
71,"2005-04-23",23,4,2005,"03:00:00",0,2,2005-04-23,3,0.666666666666667,113
1,"2005-04-21",21,4,2005,"11:00:00",0,14,2005-04-21,11,1.27272727272727,111
159,"2005-04-25",25,4,2005,"02:00:00",0,250,2005-04-25,2,125,115
252,"2005-04-27",27,4,2005,"02:00:00",0,9,2005-04-27,2,4.5,117
252,"2005-04-22",22,4,2005,"01:00:00",1,0,2005-04-22,1,1,112
429,"2005-05-01",1,5,2005,"01:00:00",0,3,2005-05-01,1,3,121
159,"2005-05-13",13,5,2005,"02:00:00",0,5,2005-05-13,2,2.5,133
159,"2005-05-12",12,5,2005,"02:30:00",0,35,2005-05-12,2.5,14,132
29,"2005-05-12",12,5,2005,"09:00:00",0,171,2005-05-12,9,19,132
29,"2005-05-13",13,5,2005,"09:00:00",0,49,2005-05-13,9,5.44444444444444,133
29,"2005-04-30",30,4,2005,"07:00:00",0,211,2005-04-30,7,30.1428571428571,120
29,"2005-05-07",7,5,2005,"09:00:00",0,109,2005-05-07,9,12.1111111111111,127
159,"2005-05-07",7,5,2005,"01:30:00",0,35,2005-05-07,1.5,23.3333333333333,127
1,"2005-05-04",4,5,2005,"08:30:00",0,190,2005-05-04,8.5,22.3529411764706,124
29,"2005-04-24",24,4,2005,"05:00:00",0,55,2005-04-24,5,11,114
1,"2005-05-06",6,5,2005,"15:00:00",0,11,2005-05-06,15,0.733333333333333,126
1,"2005-05-05",5,5,2005,"06:15:00",0,2,2005-05-05,6.25,0.32,125
429,"2005-05-14",14,5,2005,"04:00:00",0,245,2005-05-14,4,61.25,134
429,"2005-04-20",20,4,2005,"04:00:00",0,220,2005-04-20,4,55,110
97,"2005-04-25",25,4,2005,"03:00:00",0,22,2005-04-25,3,7.33333333333333,115
1,"2005-05-02",2,5,2005,"15:00:00",0,17,2005-05-02,15,1.13333333333333,122
1,"2005-05-17",17,5,2005,"03:45:00",0,6,2005-05-17,3.75,1.6,137
429,"2005-04-23",23,4,2005,"03:00:00",0,16,2005-04-23,3,5.33333333333333,113
1,"2005-05-16",16,5,2005,"13:30:00",0,6,2005-05-16,13.5,0.444444444444444,136
29,"2005-04-16",16,4,2005,"09:00:00",0,31,2005-04-16,9,3.44444444444444,106
97,"2005-05-12",12,5,2005,"02:00:00",1,3,2005-05-12,2,2,132
97,"2005-05-13",13,5,2005,"01:30:00",0,6,2005-05-13,1.5,4,133
71,"2005-05-10",10,5,2005,"05:00:00",0,83,2005-05-10,5,16.6,130
1,"2005-04-19",19,4,2005,"01:30:00",0,4,2005-04-19,1.5,2.66666666666667,109
252,"2005-04-17",17,4,2005,"01:00:00",0,2,2005-04-17,1,2,107
159,"2005-05-18",18,5,2005,"02:00:00",0,10,2005-05-18,2,5,138
71,"2005-04-17",17,4,2005,"03:00:00",0,6,2005-04-17,3,2,107
71,"2005-05-09",9,5,2005,"03:00:00",0,4,2005-05-09,3,1.33333333333333,129
252,"2005-05-10",10,5,2005,"04:00:00",0,79,2005-05-10,4,19.75,130
97,"2005-04-24",24,4,2005,"03:00:00",0,2,2005-04-24,3,0.666666666666667,114
1,"2006-05-07",7,5,2006,"06:00:00",0,2,2006-05-07,6,0.333333333333333,127
252,"2006-04-29",29,4,2006,"09:00:00",0,268,2006-04-29,9,29.7777777777778,119
29,"2006-05-08",8,5,2006,"08:30:00",0,80,2006-05-08,8.5,9.41176470588235,128
71,"2006-05-10",10,5,2006,"02:05:00",0,6,2006-05-10,2.08333333333333,2.88,130
159,"2006-05-12",12,5,2006,"00:30:00",0,13,2006-05-12,0.5,26,132
29,"2006-05-12",12,5,2006,"08:30:00",0,140,2006-05-12,8.5,16.4705882352941,132
71,"2006-04-24",24,4,2006,"04:00:00",0,37,2006-04-24,4,9.25,114
29,"2006-05-11",11,5,2006,"08:30:00",0,104,2006-05-11,8.5,12.2352941176471,131
252,"2006-05-10",10,5,2006,"02:00:00",0,7,2006-05-10,2,3.5,130
1,"2006-05-04",4,5,2006,"16:00:00",0,222,2006-05-04,16,13.875,124
71,"2006-04-29",29,4,2006,"06:30:00",0,461,2006-04-29,6.5,70.9230769230769,119
97,"2006-04-25",25,4,2006,"01:00:00",0,1,2006-04-25,1,1,115
29,"2006-04-22",22,4,2006,"08:30:00",0,2034,2006-04-22,8.5,239.294117647059,112
1,"2006-04-27",27,4,2006,"04:45:00",0,123,2006-04-27,4.75,25.8947368421053,117
71,"2006-04-30",30,4,2006,"09:00:00",0,456,2006-04-30,9,50.6666666666667,120
29,"2006-05-06",6,5,2006,"08:30:00",0,160,2006-05-06,8.5,18.8235294117647,126
159,"2006-05-06",6,5,2006,"01:00:00",0,3,2006-05-06,1,3,126
252,"2006-05-05",5,5,2006,"01:00:00",0,5,2006-05-05,1,5,125
1,"2006-05-15",15,5,2006,"03:00:00",0,1,2006-05-15,3,0.333333333333333,135
29,"2006-05-01",1,5,2006,"02:00:00",0,5,2006-05-01,2,2.5,121
97,"2006-05-08",8,5,2006,"01:30:00",0,5,2006-05-08,1.5,3.33333333333333,128
29,"2006-05-14",14,5,2006,"02:00:00",0,5,2006-05-14,2,2.5,134
1,"2006-05-03",3,5,2006,"16:00:00",0,25,2006-05-03,16,1.5625,123
429,"2006-04-28",28,4,2006,"02:30:00",0,231,2006-04-28,2.5,92.4,118
429,"2006-04-17",17,4,2006,"03:40:00",0,59,2006-04-17,3.66666666666667,16.0909090909091,107
29,"2006-05-13",13,5,2006,"08:30:00",0,19,2006-05-13,8.5,2.23529411764706,133
159,"2006-05-16",16,5,2006,"02:00:00",0,42,2006-05-16,2,21,136
1,"2006-05-01",1,5,2006,"10:00:00",0,330,2006-05-01,10,33,121
429,"2006-04-24",24,4,2006,"03:00:00",0,371,2006-04-24,3,123.666666666667,114
1,"2006-05-06",6,5,2006,"12:15:00",0,33,2006-05-06,12.25,2.69387755102041,126
429,"2006-04-29",29,4,2006,"08:00:00",0,223,2006-04-29,8,27.875,119
1,"2006-05-13",13,5,2006,"05:00:00",0,3,2006-05-13,5,0.6,133
429,"2006-05-10",10,5,2006,"04:00:00",0,147,2006-05-10,4,36.75,130
29,"2006-05-03",3,5,2006,"03:00:00",0,21,2006-05-03,3,7,123
159,"2006-05-03",3,5,2006,"02:00:00",1,2,2006-05-03,2,1.5,123
1,"2006-05-08",8,5,2006,"08:00:00",0,29,2006-05-08,8,3.625,128
1,"2006-05-12",12,5,2006,"06:15:00",0,15,2006-05-12,6.25,2.4,132
429,"2006-04-21",21,4,2006,"01:00:00",0,2,2006-04-21,1,2,111
29,"2006-05-07",7,5,2006,"08:30:00",0,325,2006-05-07,8.5,38.2352941176471,127
159,"2006-05-07",7,5,2006,"02:00:00",0,12,2006-05-07,2,6,127
429,"2006-05-05",5,5,2006,"07:15:00",0,34,2006-05-05,7.25,4.68965517241379,125
252,"2006-04-28",28,4,2006,"01:00:00",0,41,2006-04-28,1,41,118
159,"2006-04-27",27,4,2006,"02:00:00",0,33,2006-04-27,2,16.5,117
29,"2006-05-09",9,5,2006,"08:30:00",0,204,2006-05-09,8.5,24,129
29,"2006-04-16",16,4,2006,"06:30:00",0,1,2006-04-16,6.5,0.153846153846154,106
159,"2006-04-16",16,4,2006,"02:00:00",0,1,2006-04-16,2,0.5,106
1,"2006-04-22",22,4,2006,"06:00:00",0,10,2006-04-22,6,1.66666666666667,112
159,"2006-04-14",14,4,2006,"02:30:00",0,6,2006-04-14,2.5,2.4,104
429,"2006-05-06",6,5,2006,"04:45:00",2,16,2006-05-06,4.75,3.78947368421053,126
1,"2006-04-29",29,4,2006,"03:00:00",0,153,2006-04-29,3,51,119
252,"2006-05-07",7,5,2006,"05:00:00",0,12,2006-05-07,5,2.4,127
1,"2006-04-24",24,4,2006,"09:35:00",0,37,2006-04-24,9.58333333333333,3.86086956521739,114
29,"2006-05-04",4,5,2006,"03:00:00",0,51,2006-05-04,3,17,124
429,"2006-05-03",3,5,2006,"03:00:00",0,21,2006-05-03,3,7,123
1,"2006-05-02",2,5,2006,"16:00:00",0,25,2006-05-02,16,1.5625,122
252,"2006-04-22",22,4,2006,"05:00:00",0,44,2006-04-22,5,8.8,112
159,"2006-05-10",10,5,2006,"01:30:00",1,27,2006-05-10,1.5,18.6666666666667,130
29,"2006-05-10",10,5,2006,"08:30:00",0,116,2006-05-10,8.5,13.6470588235294,130
252,"2006-05-11",11,5,2006,"01:00:00",0,3,2006-05-11,1,3,131
71,"2006-05-08",8,5,2006,"02:00:00",0,9,2006-05-08,2,4.5,128
1,"2006-04-17",17,4,2006,"05:00:00",0,1,2006-04-17,5,0.2,107
252,"2006-05-08",8,5,2006,"07:00:00",0,50,2006-05-08,7,7.14285714285714,128
29,"2006-04-29",29,4,2006,"04:00:00",0,35,2006-04-29,4,8.75,119
71,"2006-04-22",22,4,2006,"05:20:00",0,134,2006-04-22,5.33333333333333,25.125,112
29,"2006-04-30",30,4,2006,"04:00:00",0,185,2006-04-30,4,46.25,120
159,"2006-04-30",30,4,2006,"01:00:00",0,109,2006-04-30,1,109,120
71,"2006-05-06",6,5,2006,"02:20:00",0,10,2006-05-06,2.33333333333333,4.28571428571429,126
429,"2006-05-04",4,5,2006,"03:00:00",0,52,2006-05-04,3,17.3333333333333,124
429,"2006-04-27",27,4,2006,"07:00:00",0,182,2006-04-27,7,26,117
429,"2006-05-09",9,5,2006,"03:00:00",0,96,2006-05-09,3,32,129
252,"2006-05-14",14,5,2006,"01:00:00",0,15,2006-05-14,1,15,134
71,"2006-05-14",14,5,2006,"05:25:00",0,1,2006-05-14,5.41666666666667,0.184615384615385,134
97,"2006-04-24",24,4,2006,"01:00:00",0,42,2006-04-24,1,42,114
429,"2006-04-12",12,4,2006,"01:00:00",0,2,2006-04-12,1,2,102
29,"2006-04-21",21,4,2006,"01:00:00",0,4,2006-04-21,1,4,111
429,"2006-05-07",7,5,2006,"04:30:00",0,82,2006-05-07,4.5,18.2222222222222,127
252,"2006-05-06",6,5,2006,"02:00:00",0,4,2006-05-06,2,2,126
29,"2006-05-05",5,5,2006,"09:00:00",0,134,2006-05-05,9,14.8888888888889,125
97,"2006-04-30",30,4,2006,"03:00:00",0,243,2006-04-30,3,81,120
159,"2006-05-05",5,5,2006,"02:00:00",0,12,2006-05-05,2,6,125
429,"2006-04-22",22,4,2006,"05:00:00",0,4141,2006-04-22,5,828.2,112
252,"2006-05-03",3,5,2006,"06:00:00",0,24,2006-05-03,6,4,123
429,"2006-05-21",21,5,2006,"01:00:00",2,0,2006-05-21,1,2,141
97,"2006-04-28",28,4,2006,"02:00:00",0,6,2006-04-28,2,3,118
1,"2006-05-05",5,5,2006,"12:15:00",0,6,2006-05-05,12.25,0.489795918367347,125
429,"2006-05-08",8,5,2006,"03:00:00",0,75,2006-05-08,3,25,128
1,"2006-04-21",21,4,2006,"10:00:00",0,2,2006-04-21,10,0.2,111
71,"2006-04-26",26,4,2006,"02:10:00",2,449,2006-04-26,2.16666666666667,208.153846153846,116
1,"2006-04-15",15,4,2006,"13:00:00",0,14,2006-04-15,13,1.07692307692308,105
1,"2006-05-10",10,5,2006,"04:30:00",0,8,2006-05-10,4.5,1.77777777777778,130
252,"2006-05-04",4,5,2006,"11:00:00",0,49,2006-05-04,11,4.45454545454545,124
159,"2006-04-17",17,4,2006,"03:00:00",0,1,2006-04-17,3,0.333333333333333,107
429,"2006-05-13",13,5,2006,"03:30:00",0,58,2006-05-13,3.5,16.5714285714286,133
429,"2006-05-14",14,5,2006,"04:45:00",0,63,2006-05-14,4.75,13.2631578947368,134
252,"2006-04-14",14,4,2006,"01:00:00",0,4,2006-04-14,1,4,104
252,"2006-05-09",9,5,2006,"02:00:00",0,64,2006-05-09,2,32,129
159,"2006-05-02",2,5,2006,"03:00:00",0,321,2006-05-02,3,107,122
29,"2006-05-02",2,5,2006,"02:00:00",0,348,2006-05-02,2,174,122
71,"2006-04-27",27,4,2006,"02:15:00",0,41,2006-04-27,2.25,18.2222222222222,117
71,"2006-05-09",9,5,2006,"05:00:00",0,17,2006-05-09,5,3.4,129
429,"2007-04-29",29,4,2007,"13:00:00",0,3739,2007-04-29,13,287.615384615385,119
71,"2007-05-06",6,5,2007,"02:00:00",0,101,2007-05-06,2,50.5,126
252,"2007-04-30",30,4,2007,"05:00:00",0,2297,2007-04-30,5,459.4,120
429,"2007-05-09",9,5,2007,"03:00:00",0,21,2007-05-09,3,7,129
252,"2007-05-02",2,5,2007,"03:00:00",0,147,2007-05-02,3,49,122
71,"2007-05-02",2,5,2007,"03:00:00",0,53,2007-05-02,3,17.6666666666667,122
429,"2007-04-16",16,4,2007,"02:30:00",0,58,2007-04-16,2.5,23.2,106
429,"2007-04-28",28,4,2007,"11:45:00",0,950,2007-04-28,11.75,80.8510638297872,118
1,"2007-04-12",12,4,2007,"12:15:00",0,14,2007-04-12,12.25,1.14285714285714,102
71,"2007-04-30",30,4,2007,"11:00:00",0,1439,2007-04-30,11,130.818181818182,120
97,"2007-04-18",18,4,2007,"01:00:00",0,6,2007-04-18,1,6,108
71,"2007-05-20",20,5,2007,"01:00:00",0,2,2007-05-20,1,2,140
29,"2007-04-15",15,4,2007,"06:30:00",0,42,2007-04-15,6.5,6.46153846153846,105
429,"2007-04-21",21,4,2007,"04:00:00",0,5,2007-04-21,4,1.25,111
252,"2007-04-26",26,4,2007,"01:00:00",0,39,2007-04-26,1,39,116
71,"2007-05-01",1,5,2007,"06:00:00",0,205,2007-05-01,6,34.1666666666667,121
97,"2007-05-22",22,5,2007,"01:00:00",0,3,2007-05-22,1,3,142
1,"2007-05-05",5,5,2007,"07:15:00",0,276,2007-05-05,7.25,38.0689655172414,125
252,"2007-05-04",4,5,2007,"13:00:00",1,4406,2007-05-04,13,339,124
159,"2007-05-16",16,5,2007,"03:30:00",0,17,2007-05-16,3.5,4.85714285714286,136
1,"2007-04-23",23,4,2007,"04:45:00",0,1,2007-04-23,4.75,0.210526315789474,113
1,"2007-05-13",13,5,2007,"10:30:00",0,9,2007-05-13,10.5,0.857142857142857,133
429,"2007-04-13",13,4,2007,"01:00:00",0,3,2007-04-13,1,3,103
429,"2007-05-03",3,5,2007,"03:00:00",0,543,2007-05-03,3,181,123
159,"2007-04-18",18,4,2007,"03:30:00",0,21,2007-04-18,3.5,6,108
429,"2007-05-24",24,5,2007,"01:00:00",0,9,2007-05-24,1,9,144
71,"2007-05-04",4,5,2007,"06:30:00",0,2033,2007-05-04,6.5,312.769230769231,124
429,"2007-04-27",27,4,2007,"03:00:00",0,71,2007-04-27,3,23.6666666666667,117
29,"2007-04-14",14,4,2007,"08:30:00",0,36,2007-04-14,8.5,4.23529411764706,104
252,"2007-05-01",1,5,2007,"01:00:00",0,129,2007-05-01,1,129,121
429,"2007-05-08",8,5,2007,"02:00:00",0,3,2007-05-08,2,1.5,128
429,"2007-05-20",20,5,2007,"01:00:00",0,1,2007-05-20,1,1,140
252,"2007-04-29",29,4,2007,"14:30:00",0,2096,2007-04-29,14.5,144.551724137931,119
71,"2007-04-17",17,4,2007,"04:45:00",0,45,2007-04-17,4.75,9.47368421052632,107
429,"2007-05-21",21,5,2007,"01:00:00",0,1,2007-05-21,1,1,141
429,"2007-05-02",2,5,2007,"05:00:00",0,719,2007-05-02,5,143.8,122
71,"2007-04-28",28,4,2007,"09:00:00",0,500,2007-04-28,9,55.5555555555556,118
29,"2007-05-05",5,5,2007,"08:30:00",0,742,2007-05-05,8.5,87.2941176470588,125
429,"2007-04-30",30,4,2007,"09:00:00",0,5170,2007-04-30,9,574.444444444444,120
159,"2007-05-05",5,5,2007,"02:00:00",0,1090,2007-05-05,2,545,125
252,"2007-04-28",28,4,2007,"13:00:00",0,823,2007-04-28,13,63.3076923076923,118
71,"2007-05-09",9,5,2007,"06:00:00",1,1,2007-05-09,6,0.333333333333333,129
1,"2007-05-07",7,5,2007,"01:00:00",0,13,2007-05-07,1,13,127
71,"2007-04-29",29,4,2007,"08:00:00",0,561,2007-04-29,8,70.125,119
29,"2007-05-13",13,5,2007,"05:00:00",0,2,2007-05-13,5,0.4,133
429,"2007-05-04",4,5,2007,"06:00:00",0,3044,2007-05-04,6,507.333333333333,124
71,"2007-04-27",27,4,2007,"06:00:00",0,41,2007-04-27,6,6.83333333333333,117
429,"2007-04-26",26,4,2007,"03:00:00",0,27,2007-04-26,3,9,116
71,"2007-05-03",3,5,2007,"08:00:00",0,520,2007-05-03,8,65,123
71,"2007-04-22",22,4,2007,"02:00:00",0,1,2007-04-22,2,0.5,112
97,"2007-05-05",5,5,2007,"03:00:00",0,999,2007-05-05,3,333,125
429,"2007-04-25",25,4,2007,"02:00:00",0,7,2007-04-25,2,3.5,115
252,"2007-05-03",3,5,2007,"09:00:00",0,697,2007-05-03,9,77.4444444444444,123
29,"2007-05-12",12,5,2007,"08:30:00",0,1,2007-05-12,8.5,0.117647058823529,132
429,"2007-05-01",1,5,2007,"09:00:00",1,1815,2007-05-01,9,201.777777777778,121
252,"2007-04-27",27,4,2007,"04:00:00",2,8,2007-04-27,4,2.5,117
97,"2007-04-29",29,4,2007,"04:00:00",0,836,2007-04-29,4,209,119
1,"2007-04-30",30,4,2007,"14:30:00",0,1780,2007-04-30,14.5,122.758620689655,120
71,"2007-04-12",12,4,2007,"04:05:00",0,2,2007-04-12,4.08333333333333,0.489795918367347,102
71,"2007-04-20",20,4,2007,"02:00:00",0,3,2007-04-20,2,1.5,110
29,"2007-04-20",20,4,2007,"05:00:00",0,15,2007-04-20,5,3,110
1,"2007-05-02",2,5,2007,"12:45:00",0,522,2007-05-02,12.75,40.9411764705882,122
159,"2007-04-20",20,4,2007,"01:30:00",0,20,2007-04-20,1.5,13.3333333333333,110
1,"2007-04-22",22,4,2007,"06:00:00",0,1,2007-04-22,6,0.166666666666667,112
1,"2007-05-03",3,5,2007,"10:30:00",0,630,2007-05-03,10.5,60,123
1,"2007-04-13",13,4,2007,"14:30:00",0,26,2007-04-13,14.5,1.79310344827586,103
429,"2007-05-13",13,5,2007,"02:00:00",2,4,2007-05-13,2,3,133
29,"2007-05-06",6,5,2007,"06:00:00",0,15,2007-05-06,6,2.5,126
159,"2007-05-06",6,5,2007,"02:30:00",0,695,2007-05-06,2.5,278,126
1,"2007-04-27",27,4,2007,"04:00:00",0,50,2007-04-27,4,12.5,117
29,"2007-05-02",2,5,2007,"08:00:00",1,971,2007-05-02,8,121.5,122
159,"2007-05-02",2,5,2007,"03:00:00",0,897,2007-05-02,3,299,122
429,"2007-05-05",5,5,2007,"03:00:00",0,776,2007-05-05,3,258.666666666667,125
29,"2007-04-30",30,4,2007,"08:30:00",3,4452,2007-04-30,8.5,524.117647058824,120
159,"2007-05-08",8,5,2007,"02:30:00",0,21,2007-05-08,2.5,8.4,128
429,"2007-04-23",23,4,2007,"01:00:00",0,1,2007-04-23,1,1,113
97,"2007-05-04",4,5,2007,"05:00:00",0,2064,2007-05-04,5,412.8,124
29,"2007-05-11",11,5,2007,"04:00:00",0,5,2007-05-11,4,1.25,131
1,"2007-04-28",28,4,2007,"10:00:00",0,61,2007-04-28,10,6.1,118
29,"2007-05-01",1,5,2007,"08:30:00",0,2000,2007-05-01,8.5,235.294117647059,121
159,"2007-04-25",25,4,2007,"03:00:00",2,10,2007-04-25,3,4,115
1,"2007-04-17",17,4,2007,"04:30:00",0,2,2007-04-17,4.5,0.444444444444444,107
1,"2007-04-21",21,4,2007,"11:50:00",0,5,2007-04-21,11.8333333333333,0.422535211267606,111
1,"2007-05-23",23,5,2007,"03:15:00",0,1,2007-05-23,3.25,0.307692307692308,143
71,"2007-04-18",18,4,2007,"04:50:00",0,1,2007-04-18,4.83333333333333,0.206896551724138,108
1,"2007-04-29",29,4,2007,"12:45:00",0,490,2007-04-29,12.75,38.4313725490196,119
97,"2007-04-30",30,4,2007,"05:30:00",2,876,2007-04-30,5.5,159.636363636364,120
29,"2007-05-04",4,5,2007,"07:00:00",0,1458,2007-05-04,7,208.285714285714,124
159,"2007-05-04",4,5,2007,"03:00:00",0,2947,2007-05-04,3,982.333333333333,124
429,"2007-04-15",15,4,2007,"04:50:00",0,11,2007-04-15,4.83333333333333,2.27586206896552,105
159,"2007-04-17",17,4,2007,"01:30:00",1,236,2007-04-17,1.5,158,107
1,"2007-04-25",25,4,2007,"07:00:00",0,2,2007-04-25,7,0.285714285714286,115
159,"2007-04-21",21,4,2007,"01:00:00",0,4,2007-04-21,1,4,111
29,"2007-04-21",21,4,2007,"08:30:00",0,1,2007-04-21,8.5,0.117647058823529,111
429,"2007-04-10",10,4,2007,"02:00:00",0,27,2007-04-10,2,13.5,100
29,"2007-04-28",28,4,2007,"09:00:00",0,907,2007-04-28,9,100.777777777778,118
97,"2007-04-24",24,4,2007,"00:45:00",0,1,2007-04-24,0.75,1.33333333333333,114
159,"2007-04-28",28,4,2007,"02:30:00",0,419,2007-04-28,2.5,167.6,118
1,"2007-05-01",1,5,2007,"15:30:00",0,1147,2007-05-01,15.5,74,121
71,"2007-05-05",5,5,2007,"10:00:00",0,1519,2007-05-05,10,151.9,125
1,"2007-05-18",18,5,2007,"03:45:00",0,1,2007-05-18,3.75,0.266666666666667,138
252,"2007-05-05",5,5,2007,"09:00:00",0,1228,2007-05-05,9,136.444444444444,125
1,"2007-04-26",26,4,2007,"09:00:00",0,9,2007-04-26,9,1,116
159,"2007-05-09",9,5,2007,"03:00:00",0,38,2007-05-09,3,12.6666666666667,129
1,"2007-05-04",4,5,2007,"12:00:00",0,661,2007-05-04,12,55.0833333333333,124
29,"2007-04-29",29,4,2007,"09:00:00",1,3707,2007-04-29,9,412,119
159,"2007-04-29",29,4,2007,"02:30:00",2,1443,2007-04-29,2.5,578,119
429,"2007-05-22",22,5,2007,"01:00:00",0,1,2007-05-22,1,1,142
97,"2007-04-17",17,4,2007,"01:00:00",0,12,2007-04-17,1,12,107
29,"2007-04-27",27,4,2007,"05:00:00",0,29,2007-04-27,5,5.8,117
159,"2007-04-27",27,4,2007,"02:00:00",0,34,2007-04-27,2,17,117
1,"2007-05-06",6,5,2007,"08:00:00",0,12,2007-05-06,8,1.5,126
29,"2007-05-03",3,5,2007,"06:00:00",0,634,2007-05-03,6,105.666666666667,123
29,"2007-04-22",22,4,2007,"06:30:00",0,1,2007-04-22,6.5,0.153846153846154,112
97,"2007-04-28",28,4,2007,"04:00:00",0,328,2007-04-28,4,82,118
29,"2007-05-17",17,5,2007,"08:00:00",0,1,2007-05-17,8,0.125,137
1,"2008-05-04",4,5,2008,"15:30:00",0,25,2008-05-04,15.5,1.61290322580645,125
71,"2008-05-01",1,5,2008,"02:00:00",6,0,2008-05-01,2,3,122
1,"2008-05-13",13,5,2008,"05:35:00",0,4,2008-05-13,5.58333333333333,0.716417910447761,134
429,"2008-04-20",20,4,2008,"04:00:00",0,58,2008-04-20,4,14.5,111
1,"2008-05-02",2,5,2008,"06:30:00",0,3,2008-05-02,6.5,0.461538461538462,123
1,"2008-04-23",23,4,2008,"05:45:00",0,4,2008-04-23,5.75,0.695652173913043,114
429,"2008-05-09",9,5,2008,"03:25:00",0,4,2008-05-09,3.41666666666667,1.17073170731707,130
97,"2008-04-21",21,4,2008,"02:00:00",0,1,2008-04-21,2,0.5,112
159,"2008-05-12",12,5,2008,"02:00:00",0,3,2008-05-12,2,1.5,133
29,"2008-05-12",12,5,2008,"07:00:00",0,12,2008-05-12,7,1.71428571428571,133
159,"2008-05-14",14,5,2008,"02:00:00",0,3,2008-05-14,2,1.5,135
159,"2008-05-07",7,5,2008,"03:00:00",0,16,2008-05-07,3,5.33333333333333,128
1,"2008-04-26",26,4,2008,"08:45:00",0,2,2008-04-26,8.75,0.228571428571429,117
29,"2008-05-24",24,5,2008,"08:00:00",0,8,2008-05-24,8,1,145
159,"2008-05-24",24,5,2008,"03:00:00",0,2,2008-05-24,3,0.666666666666667,145
29,"2008-04-17",17,4,2008,"03:00:00",0,1,2008-04-17,3,0.333333333333333,108
159,"2008-05-18",18,5,2008,"02:00:00",0,48,2008-05-18,2,24,139
1,"2008-05-05",5,5,2008,"15:30:00",0,10,2008-05-05,15.5,0.645161290322581,126
1,"2008-05-06",6,5,2008,"13:30:00",0,2,2008-05-06,13.5,0.148148148148148,127
1,"2008-04-22",22,4,2008,"11:45:00",0,16,2008-04-22,11.75,1.36170212765957,113
252,"2008-05-03",3,5,2008,"01:00:00",0,1,2008-05-03,1,1,124
429,"2008-04-16",16,4,2008,"01:00:00",0,1,2008-04-16,1,1,107
1,"2008-04-19",19,4,2008,"14:15:00",0,190,2008-04-19,14.25,13.3333333333333,110
29,"2008-05-10",10,5,2008,"10:00:00",0,75,2008-05-10,10,7.5,131
1,"2008-05-22",22,5,2008,"07:45:00",0,6,2008-05-22,7.75,0.774193548387097,143
429,"2008-05-17",17,5,2008,"03:00:00",0,16,2008-05-17,3,5.33333333333333,138
29,"2008-05-05",5,5,2008,"06:30:00",0,30,2008-05-05,6.5,4.61538461538461,126
159,"2008-05-05",5,5,2008,"01:30:00",0,5,2008-05-05,1.5,3.33333333333333,126
97,"2008-05-02",2,5,2008,"01:00:00",1,0,2008-05-02,1,1,123
159,"2008-05-06",6,5,2008,"04:10:00",0,42,2008-05-06,4.16666666666667,10.08,127
29,"2008-05-06",6,5,2008,"04:00:00",0,5,2008-05-06,4,1.25,127
29,"2008-04-26",26,4,2008,"03:00:00",0,105,2008-04-26,3,35,117
252,"2008-04-20",20,4,2008,"05:00:00",0,15,2008-04-20,5,3,111
97,"2008-05-04",4,5,2008,"02:00:00",0,1,2008-05-04,2,0.5,125
71,"2008-04-20",20,4,2008,"02:00:00",0,3,2008-04-20,2,1.5,111
1,"2008-05-10",10,5,2008,"08:30:00",0,2,2008-05-10,8.5,0.235294117647059,131
429,"2008-04-30",30,4,2008,"00:40:00",0,1,2008-04-30,0.666666666666667,1.5,121
1,"2008-05-20",20,5,2008,"09:45:00",0,1,2008-05-20,9.75,0.102564102564103,141
429,"2008-05-08",8,5,2008,"04:00:00",0,10,2008-05-08,4,2.5,129
29,"2008-04-19",19,4,2008,"08:30:00",0,44,2008-04-19,8.5,5.17647058823529,110
1,"2008-04-21",21,4,2008,"13:15:00",0,18,2008-04-21,13.25,1.35849056603774,112
29,"2008-04-22",22,4,2008,"05:00:00",0,189,2008-04-22,5,37.8,113
159,"2008-04-22",22,4,2008,"02:30:00",0,137,2008-04-22,2.5,54.8,113
159,"2008-04-23",23,4,2008,"03:00:00",0,67,2008-04-23,3,22.3333333333333,114
97,"2008-05-05",5,5,2008,"01:30:00",0,1,2008-05-05,1.5,0.666666666666667,126
29,"2008-05-02",2,5,2008,"08:00:00",0,129,2008-05-02,8,16.125,123
159,"2008-05-02",2,5,2008,"01:00:00",0,1,2008-05-02,1,1,123
71,"2008-04-16",16,4,2008,"05:15:00",0,118,2008-04-16,5.25,22.4761904761905,107
29,"2008-05-04",4,5,2008,"10:00:00",0,72,2008-05-04,10,7.2,125
