"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
429,"2004-04-23",23,4,2004,"03:30:00",0,902,2004-04-23,3.5,257.714285714286,114
71,"2004-05-01",1,5,2004,"02:00:00",1,2,2004-05-01,2,1.5,122
29,"2004-04-10",10,4,2004,"07:30:00",0,38,2004-04-10,7.5,5.06666666666667,101
71,"2004-05-23",23,5,2004,"01:00:00",0,1,2004-05-23,1,1,144
71,"2004-05-03",3,5,2004,"02:00:00",1,2,2004-05-03,2,1.5,124
252,"2004-04-09",9,4,2004,"05:00:00",0,32,2004-04-09,5,6.4,100
1,"2004-05-04",4,5,2004,"06:00:00",0,1,2004-05-04,6,0.166666666666667,125
159,"2004-04-28",28,4,2004,"02:00:00",0,176,2004-04-28,2,88,119
1,"2004-04-24",24,4,2004,"07:00:00",0,23,2004-04-24,7,3.28571428571429,115
71,"2004-04-27",27,4,2004,"03:00:00",0,19,2004-04-27,3,6.33333333333333,118
252,"2004-04-27",27,4,2004,"04:00:00",0,11,2004-04-27,4,2.75,118
71,"2004-05-13",13,5,2004,"01:00:00",0,8,2004-05-13,1,8,134
29,"2004-04-20",20,4,2004,"01:30:00",0,2,2004-04-20,1.5,1.33333333333333,111
159,"2004-05-22",22,5,2004,"01:00:00",0,8,2004-05-22,1,8,143
429,"2004-05-23",23,5,2004,"03:00:00",0,29,2004-05-23,3,9.66666666666667,144
29,"2004-05-22",22,5,2004,"08:00:00",0,9,2004-05-22,8,1.125,143
1,"2004-05-08",8,5,2004,"09:30:00",0,151,2004-05-08,9.5,15.8947368421053,129
29,"2004-04-22",22,4,2004,"02:30:00",0,60,2004-04-22,2.5,24,113
29,"2004-04-30",30,4,2004,"08:30:00",0,2594,2004-04-30,8.5,305.176470588235,121
29,"2004-04-26",26,4,2004,"02:00:00",0,31,2004-04-26,2,15.5,117
159,"2004-05-14",14,5,2004,"01:00:00",0,2,2004-05-14,1,2,135
29,"2004-05-09",9,5,2004,"05:00:00",0,21,2004-05-09,5,4.2,130
71,"2004-04-23",23,4,2004,"04:00:00",1,60,2004-04-23,4,15.25,114
429,"2004-05-01",1,5,2004,"02:00:00",0,17,2004-05-01,2,8.5,122
29,"2004-04-25",25,4,2004,"05:00:00",0,31,2004-04-25,5,6.2,116
159,"2004-04-25",25,4,2004,"01:30:00",0,11,2004-04-25,1.5,7.33333333333333,116
71,"2004-05-06",6,5,2004,"01:00:00",0,0,2004-05-06,1,0,127
29,"2004-05-02",2,5,2004,"03:00:00",0,44,2004-05-02,3,14.6666666666667,123
71,"2004-05-12",12,5,2004,"02:00:00",0,4,2004-05-12,2,2,133
429,"2004-05-16",16,5,2004,"00:45:00",0,1,2004-05-16,0.75,1.33333333333333,137
1,"2004-05-15",15,5,2004,"04:00:00",0,1,2004-05-15,4,0.25,136
29,"2004-05-20",20,5,2004,"08:00:00",0,2,2004-05-20,8,0.25,141
71,"2004-05-20",20,5,2004,"01:00:00",0,3,2004-05-20,1,3,141
429,"2004-04-09",9,4,2004,"02:00:00",0,16,2004-04-09,2,8,100
252,"2004-04-22",22,4,2004,"02:00:00",0,3,2004-04-22,2,1.5,113
252,"2004-04-30",30,4,2004,"01:00:00",0,86,2004-04-30,1,86,121
