code,ch,SEX
L2RRRL,000000000001100,m
L2RRRR,000000000001000,f
L2RRRY,000000000001110,f
L2RRYB,000000000001101,m
L2RRYL,000000000001000,f
L2RRYR,000000000001000,f
L2RRYY,000000000001000,f
L2RYBL,000000000001100,f
L2RYBR,000000000001010,f
L2RYBY,000000000001000,m
L2RYLL,000000000001110,m
L2RYLR,000000000001010,f
L2RYLY,000000000001110,m
L2RYRB,000000000001100,f
L2RYRL,000000000001000,f
L2RYRR,000000000001000,m
L2RYRY,000000000001100,m
L2RYYB,000000000001100,f
L2RYYL,000000000001000,f
L2RYYR,000000000001000,f
L2RYYY,000000000001111,m
L3BBBL,000000000100000,f
L3BBBR,000000000100000,f
L3BBBY,000000000100000,f
L3BBLB,000000000100000,f
L3BBLL,000000000110101,f
L3BBLR,000000000100000,m
L3BBLY,000000000100000,m
L3BBRB,000000000110111,m
L3BBRL,000000000100000,f
L3BBRR,000000000110000,f
L3BBRY,000000000110000,f
L3BBYB,000000000100000,m
L3BBYL,000000000100000,m
L3BBYR,000000000111111,f
L3BBYY,000000000100000,m
L3BLBB,000000000100100,f
L3BLBL,000000000100010,f
L3BLBR,000000000111001,f
L3BLBY,000000000100110,m
L3BLLB,000000000110000,f
L3BLLL,000000000110100,f
L3BLLR,000000000101000,m
L3BLLY,000000000100100,f
L3BLRB,000000000111001,f
L3BLRL,000000000100000,f
L3BLRR,000000000100000,m
L3BLRY,000000000100000,m
L3BLYB,000000000101000,f
L3BLYL,000000000100110,f
L3BLYR,000000000110100,m
L3BLYY,000000000100011,f
L3BRBL,000000000100000,m
L3BRBR,000000000110101,f
L3BRBY,000000000110000,m
L3BRLB,000000000111100,m
L3BRLL,000000000100000,f
L3BRLR,000000000101000,f
L3BRLY,000000000101000,f
L3BRRB,000000000111000,f
L3BRRL,000000000100000,f
L3BRRR,000000000110000,f
L3BRRY,000000000111010,m
L3BRYB,000000000110000,f
L3BRYL,000000000111011,f
L3BRYR,000000000101000,m
L3BRYY,000000000100100,m
L3BYBB,000000000100100,f
L3BYBL,000000000101110,f
L3BYBR,000000000100000,m
L3BYBY,000000000101010,m
L3BYLB,000000000110000,f
L3BYLL,000000000111110,f
L3BYLR,000000000100000,m
L3BYLY,000000000100000,f
L3BYRB,000000000100000,f
L3BYRL,000000000100000,f
L3BYRY,000000000100000,f
L3BYYB,000000000100000,m
L3BYYL,000000000100001,f
L3BYYR,000000000100001,f
L3BYYY,000000000100000,f
L3LBBB,000000000100000,f
L3LBBL,000000000100001,f
L3LBBR,000000000110011,f
L3LBBY,000000000100010,f
L3LBLB,000000000110000,f
L3LBLL,000000000100000,f
L3LBLR,000000000110100,f
L3LBLY,000000000100000,f
L3LBRB,000000000110001,f
L3LBRL,000000000100001,f
L3LBRR,000000000110000,f
L3LBRY,000000000100000,m
L3LBYB,000000000100010,f
L3LBYL,000000000100000,f
L3LBYR,000000000110000,f
L3LBYY,000000000100000,f
L3LLBB,000000000100010,m
L3LLBL,000000000111111,m
L3LLBR,000000000100000,f
L3LLBY,000000000111100,m
L3LLLB,000000000110110,f
L3LLLL,000000000110101,f
L3LLLR,000000000110000,f
L3LLLY,000000000100000,f
L3LLRB,000000000101111,f
L3LLRL,000000000101000,f
L3LLRR,000000000110100,f
L3LLRY,000000000100000,f
L3LLYB,000000000110011,m
L3LLYL,000000000100001,f
L3LLYR,000000000110110,f
L3LLYY,000000000110000,m
L3LRBB,000000000110010,f
L3LRBL,000000000111101,f
L3LRBR,000000000100000,f
L3LRBY,000000000100000,f
L3LRLB,000000000100001,f
L3LRLL,000000000100000,f
L3LRLR,000000000100100,f
L3LRLY,000000000100010,f
L3LRRB,000000000111100,f
L3LRRL,000000000100000,f
L3LRRR,000000000100000,m
L3LRRY,000000000100000,f
L3LRYB,000000000100000,f
L3LRYL,000000000110100,f
L3LRYR,000000000110011,f
L3LRYY,000000000100000,f
L3LYBB,000000000100000,f
L3LYBL,000000000110000,f
L3LYBR,000000000100000,f
L3LYBY,000000000100000,f
L3LYLB,000000000100000,f
L3LYLL,000000000101000,f
L3LYLR,000000000100000,f
L3LYLY,000000000100000,m
L3LYRB,000000000100000,f
L3LYRL,000000000110000,f
L3LYRR,000000000110010,f
L3LYRY,000000000110100,f
L3LYYB,000000000100000,f
L3LYYL,000000000100000,m
L3LYYR,000000000111011,f
L3LYYY,000000000100000,m
L3RBBB,000000000110000,m
L3RBBL,000000000110010,m
L3RBBR,000000000110010,f
L3RBBY,000000000110111,m
L3RBLB,000000000111111,f
L3RBLL,000000000100000,f
L3RBLR,000000000111011,f
L3RBLY,000000000100111,f
L3RBRL,000000000110010,m
L3RBRR,000000000111000,f
L3RBRY,000000000111000,m
L3RBYB,000000000110100,f
L3RBYL,000000000100000,m
L3RBYR,000000000111110,f
L3RLBB,000000000100000,m
L3RLBL,000000000110111,f
L3RLBR,000000000100000,f
L3RLBY,000000000100000,f
L3RLLB,000000000110111,f
L3RLLL,000000000110001,f
L3RLLR,000000000100001,f
L3RLLY,000000000100010,f
L3RLRB,000000000100111,f
L3RLRL,000000000100000,m
L3RLRR,000000000101100,m
L3RLRY,000000000110000,f
L3RLYB,000000000100000,m
L3RLYL,000000000100000,m
L3RLYR,000000000100000,f
L3RLYY,000000000110100,f
L3RRBB,000000000110000,f
L3RRBL,000000000100000,m
L3RRBR,000000000100000,f
L3RRBY,000000000110000,f
L3RRLB,000000000100000,f
L3RRLL,000000000100000,f
L3RRLR,000000000111100,f
L3RRLY,000000000100010,f
L3RRRB,000000000110000,f
L3RRRL,000000000100000,f
L3RRRR,000000000111000,f
L3RRRY,000000000100100,f
L3RRYB,000000000100000,f
L3RRYL,000000000100000,f
L3RRYR,000000000100000,m
L3RRYY,000000000110000,f
L3RYBB,000000000100100,f
L3RYBL,000000000100000,f
L3RYBR,000000000101011,f
L3RYBY,000000000100100,f
L3RYLB,000000000100000,m
L3RYLL,000000000100100,m
L3RYLR,000000000100000,f
L3RYLY,000000000111101,m
L3RYRB,000000000100000,m
L3RYRL,000000000100000,f
L3RYRR,000000000101001,m
L3RYRY,000000000100100,f
L3RYYB,000000000100000,m
L3RYYL,000000000100000,m
L3RYYR,000000000100000,m
L3RYYY,000000000100000,m
L3YBBB,000000000110000,f
L3YBBL,000000000110111,f
L3YBBR,000000000111000,f
L3YBBY,000000000100100,f
L3YBLB,000000000110001,m
L3YBLL,000000000110101,f
L3YBLR,000000000100010,f
L3YBLY,000000000100000,f
L3YBRB,000000000100100,f
L3YBRL,000000000100000,f
L3YBRR,000000000100011,f
L3YBRY,000000000110011,f
L3YBYB,000000000110111,f
L3YBYL,000000000111011,f
L3YBYR,000000000100101,f
L3YBYY,000000000101111,f
L3YLBB,000000000100000,f
L3YLBL,000000000110000,f
L3YLBR,000000000110110,f
L3YLBY,000000000100000,f
L3YLLB,000000000100001,f
L3YLLL,000000000100000,m
L3YLLR,000000000100001,f
L3YLLY,000000000100001,f
L3YLRB,000000000100000,f
L3YLRL,000000000110010,m
L3YLRR,000000000111001,f
L3YLRY,000000000100010,f
L3YLYB,000000000100000,m
L3YLYL,000000000100000,m
L3YLYR,000000000100001,f
L3YLYY,000000000100000,m
L3YRBB,000000000100000,f
L3YRBL,000000000100000,m
L3YRBR,000000000110000,f
L3YRBY,000000000100000,f
L3YRLB,000000000111100,f
L3YRLL,000000000110000,f
L3YRLR,000000000101011,f
L3YRLY,000000000100000,m
L3YRRB,000000000100011,f
L3YRRL,000000000100000,f
L3YRRR,000000000110000,m
L3YRRY,000000000100000,m
L3YRYB,000000000111011,f
L3YRYL,000000000100000,f
L3YRYR,000000000110110,f
L3YRYY,000000000100000,f
L3YYBB,000000000100100,f
L3YYBL,000000000111010,f
L3YYBR,000000000110011,f
L3YYLB,000000000110000,f
L3YYLL,000000000100000,f
L3YYLR,000000000110010,f
L3YYLY,000000000100001,f
L3YYRB,000000000100000,f
L3YYRL,000000000110000,f
L3YYRR,000000000110001,f
L3YYRY,000000000100100,f
L3YYYB,000000000110100,f
L3YYYL,000000000100000,f
L3YYYR,000000000110001,m
L3YYYY,000000000110111,f
L4BBBB,000000000010000,m
