"","b","P(|b|>0)"
"b1.1",-0.0497429174721454,0.804777777777778
"b2.1",-0.792826269882458,1
"b3.1",-0.169576593596958,0.882333333333333
"b3.2",0.187473436099773,0.913888888888889
"b3.3",0.2070011288709,0.716111111111111
"b4.1",-0.14800573263769,0.740222222222222
"b4.2",0.273706480062913,0.918666666666667
"b5.1",0.0714465891149007,0.580111111111111
"b5.2",0.19343643316787,0.797222222222222
"b5.3",2.13363823751149,1
"b5.4",-0.161790197730383,0.766333333333333
